ATC;NT;NAZEV;NAZEV_EN
A02;N;LÉČIVA K TERAPII ONEMOCNĚNÍ SPOJENÝCH S PORUCHOU ACIDITY;DRUGS FOR ACID RELATED DISORDERS
A02A;N;ANTACIDA;ANTACIDS
A02AA;N;Sloučeniny hořčíku;Magnesium compounds
A02AA01;N;uhličitan hořečnatý;magnesium carbonate
A02AA02;N;oxid hořečnatý;magnesium oxide
A02AA03;N;peroxid hořečnatý;magnesium peroxide
A02AA04;N;hydroxid hořečnatý;magnesium hydroxide
A02AA05;N;křemičitan hořečnatý;magnesium silicate
A02AA10;N;sloučeniny hořčíku, kombinace;combinations
A02AB;N;Sloučeniny hliníku;Aluminium compounds
A02AB01;N;hydroxid hlinitý;aluminium hydroxide
A02AB02;N;algeldrát;algeldrate
A02AB03;N;fosforečnan hlinitý;aluminium phosphate
A02AB04;N;uhličitan dihydroxyhlinito-sodný;dihydroxialumini sodium carbonate
A02AB05;N;aluminium-acetylacetonát;aluminium acetoacetate
A02AB06;N;aloglutamol;aloglutamol
A02AB07;N;dihydroxyaluminium-glycinát;aluminium glycinate
A02AB10;N;sloučeniny hliníku, kombinace;combinations
A02AC;N;Sloučeniny vápníku;Calcium compounds
A02AC01;N;uhličitan vápenatý;calcium carbonate
A02AC02;N;křemičitan vápenatý;calcium silicate
A02AC10;N;sloučeniny vápníku, kombinace;combinations
A02AD;N;Kombinace a komplexy sloučenin hliníku, vápníku a hořčíku;Combinations and complexes of aluminium, calcium and magnesium compounds
A02AD01;N;kombinace běžných solí;ordinary salt combinations
A02AD02;N;magaldrát;magaldrate
A02AD03;N;almagát;almagate
A02AD04;N;hydrotalcit;hydrotalcite
A02AD05;N;almasilát;almasilate
A02AF;N;Antacida s antiflatulencii;Antacids with antiflatulents
A02AF01;N;magaldrát a antiflatulencia;magaldrate and antiflatulents
A02AF02;N;kombinace běžných solí s antiflatulencii;ordinary salt combinations and antiflatulents
A02AG;N;Antacida se spazmolytiky;Antacids with antispasmodics
A02AH;N;Antacida s uhličitanem sodným;Antacids with sodium bicarbonate
A02AX;N;Antacida, jiné kombinace;Antacids, other combinations
A02B;N;LÉČIVA K TERAPII PEPTICKÉHO VŘEDU A REFLUXNÍ CHOROBY JÍCNU;DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)
A02BA;N;Antagonisté H2-receptorů;H2-receptor antagonists
A02BA01;N;cimetidin;cimetidine
A02BA02;N;ranitidin;ranitidine
A02BA03;N;famotidin;famotidine
A02BA04;N;nizatidin;nizatidine
A02BA05;N;niperotidin;niperotidine
A02BA06;N;roxatidin;roxatidine
A02BA07;N;ranitidin-bismut-citrát;ranitidine bismuth citrate
A02BA08;N;lafutidin;lafutidine
A02BA51;N;cimetidin, kombinace;cimetidine, combinations
A02BA53;N;famotidin, kombinace;famotidine, combinations
A02BB;N;Prostaglandiny;Prostaglandins
A02BB01;N;misoprostol;misoprostol
A02BB02;N;enprostil;enprostil
A02BC;N;Inhibitory protonové pumpy;Proton pump inhibitors
A02BC01;N;omeprazol;omeprazole
A02BC02;N;pantoprazol;pantoprazole
A02BC03;N;lansoprazol;lansoprazole
A02BC04;N;rabeprazol;rabeprazole
A02BC05;N;esomeprazol;esomeprazole
A02BC06;N;dexlansoprazol;dexlansoprazole
A02BC07;N;dexrabeprazol;dexrabeprazole
A02BC08;N;vonoprazan;vonoprazan
A02BC09;N;tegoprazan;tegoprazan
A02BC10;N;fexuprazan;fexuprazan
A02BC11;N;ilaprazol;ilaprazole
A02BC51;N;omeprazol, kombinace;omeprazole, combinations
A02BC53;N;lansoprazol, kombinace;lansoprazole, combinations
A02BC54;N;rabeprazol, kombinace;rabeprazole, combinations
A02BD;N;Kombinace k eradikaci helicobacter pylori;Combinations for eradication of Helicobacter pylori
A02BD01;N;omeprazol, amoxicilin a metronidazol;omeprazole, amoxicillin and metronidazole
A02BD02;N;lansoprazol, tetracyklin a metronidazol;lansoprazole, tetracycline and metronidazole
A02BD03;N;lansoprazol, amoxicilin a metronidazol;lansoprazole, amoxicillin and metronidazole
A02BD04;N;pantoprazol, amoxicilin a klarithromycin;pantoprazole, amoxicillin and clarithromycin
A02BD05;N;omeprazol, amoxicilin a klarithromycin;omeprazole, amoxicillin and clarithromycin
A02BD06;N;esomeprazol, amoxicilin a klarithromycin;esomeprazole, amoxicillin and clarithromycin
A02BD07;N;lansoprazol, amoxicilin a klarithromycin;lansoprazole, amoxicillin and clarithromycin
A02BD08;N;zásaditý citronan bismutitý, tetracyklin a metronidazol;bismuth subcitrate, tetracycline and metronidazole
A02BD09;N;lansoprazol, klarithromycin a tinidazol;lansoprazole, clarithromycin and tinidazole
A02BD10;N;lansoprazol, amoxicilin a levofloxacin;lansoprazole, amoxicillin and levofloxacin
A02BD11;N;pantoprazol, amoxicilin, klarithromycin a metronidazol;pantoprazole, amoxicillin, clarithromycin and metronidazole
A02BD12;N;rabeprazol, amoxicilin a klarithromycin;rabeprazole, amoxicillin and clarithromycin
A02BD13;N;rabeprazol, amoxicilin a metronidazol;rabeprazole, amoxicillin and metronidazole
A02BD14;N;vonoprazan, amoxicilin a klarithromycin;vonoprazan, amoxicillin and clarithromycin
A02BD15;N;vonoprazan, amoxicilin a metronidazol;vonoprazan, amoxicillin and metronidazole
A02BD16;N;omeprazol, amoxicilin a rifabutin;omeprazole, amoxicillin and rifabutin
A02BD17;N;vonoprazan a amoxicilin;vonoprazan and amoxicillin
A02BX;N;Jiná léčiva k terapii peptického vředu a refluxní choroby jícnu;Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD)
A02BX01;N;karbenoxolon;carbenoxolone
A02BX02;N;sukralfát;sucralfate
A02BX03;N;pirenzepin;pirenzepine
A02BX04;N;methiosulfonium-chlorid;methiosulfonium chloride
A02BX05;N;zásaditý bismutum(III)-citrát;bismuth subcitrate
A02BX06;N;proglumid;proglumide
A02BX07;N;gefarnát;gefarnate
A02BX08;N;sulglikotid;sulglicotide
A02BX09;N;acetoxolon;acetoxolone
A02BX10;N;zolimidin;zolimidine
A02BX11;N;troxipid;troxipide
A02BX12;N;zásaditý dusičnan bismutitý;bismuth subnitrate
A02BX13;N;kyselina alginová;alginic acid
A02BX14;N;rebamipid;rebamipide
A02BX15;N;teprenon;teprenone
A02BX16;N;irsogladin;irsogladine
A02BX51;N;karbenoxolon, kombinace kromě psycholeptik;carbenoxolone, combinations excl. psycholeptics
A02BX71;N;karbenoxolon, kombinace s psycholeptiky;carbenoxolone, combinations with psycholeptics
A02BX77;N;gefarnát, kombinace s psycholeptiky;gefarnate, combinations with psycholeptics
A02X;N;JINÁ LÉČIVA K TERAPII ONEMOCNĚNÍ SPOJENÝCH S PORUCHOU ACIDITY;OTHER DRUGS FOR ACID RELATED DISORDERS
A03;N;LÉČIVA K TERAPII FUNKČNÍCH PORUCH GASTROINTESTINÁLNÍHO TRAKTU;DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS
A03A;N;LÉČIVA K TERAPII FUNKČNÍCH PORUCH GASTROINTESTINÁLNÍHO TRAKTU;DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS
A03AA;N;Syntetická anticholinergika, estery s terciární aminoskupinou;Synthetic anticholinergics, esters with tertiary amino group
A03AA01;N;oxyfencyklimin;oxyphencyclimine
A03AA03;N;kamylofin;camylofin
A03AA04;N;mebeverin;mebeverine
A03AA05;N;trimebutin;trimebutine
A03AA06;N;rociverin;rociverine
A03AA07;N;dicykloverin;dicycloverine
A03AA08;N;dihexyverin;dihexyverine
A03AA09;N;difemerin;difemerine
A03AA30;N;piperidolát;piperidolate
A03AB;N;Syntetická anticholinergika, kvarterní amoniové sloučeniny;Synthetic anticholinergics, quaternary ammonium compounds
A03AB01;N;benzilonium;benzilone
A03AB02;N;glykopyrronium-bromid;glycopyrronium bromide
A03AB03;N;oxyfenonium;oxyphenonium
A03AB04;N;penthienacium;penthienate
A03AB05;N;propanthelinium;propantheline
A03AB06;N;otilonium-bromid;otilonium bromide
A03AB07;N;methanthelinium;methantheline
A03AB08;N;tridihexethylium;tridihexethyl
A03AB09;N;isopropamid;isopropamide
A03AB10;N;hexocyklium;hexocyclium
A03AB11;N;poldinium;poldine
A03AB12;N;mepenzolacium;mepenzolate
A03AB13;N;bevonium;bevonium
A03AB14;N;pipenzolacium;pipenzolate
A03AB15;N;difemanilium;diphemanil
A03AB16;N;difenhydramin-jodid;(2-benzhydryloxyethyl)diethyl-methylammonium iodide
A03AB17;N;tiemonium-jodid;tiemonium iodide
A03AB18;N;prifinium-bromid;prifinium bromide
A03AB19;N;timepidium-bromid;timepidium bromide
A03AB21;N;fenpiverinium;fenpiverinium
A03AB53;N;oxyfenonium, kombinace;oxyphenonium, combinations
A03AC;N;Syntetická spazmolytika, amidy s terciárními aminy;Synthetic antispasmodics, amides with tertiary amines
A03AC02;N;dimethylaminopropionylfenothiazin;dimethylaminopropionylphenothiazine
A03AC04;N;nikofetamid;nicofetamide
A03AC05;N;tiropramid;tiropramide
A03AD;N;Papaverin a deriváty;Papaverine and derivatives
A03AD01;N;papaverin;papaverine
A03AD02;N;drotaverin;drotaverine
A03AD30;N;moxaverin;moxaverine
A03AE;N;Antagonisté serotoninových receptorů;Serotonin receptor antagonists
A03AE01;N;alosetron;alosetron
A03AE03;N;cilansetron;cilansetron
A03AX;N;Jiná léčiva k terapii funkčních poruch gastrointestinálního traktu;Other drugs for functional gastrointestinal disorders
A03AX01;N;fenpipran;fenpiprane
A03AX02;N;diisopromin;diisopromine
A03AX03;N;chlorbenzoxamin;chlorbenzoxamine
A03AX04;N;pinaverium;pinaverium
A03AX05;N;fenoverin;fenoverine
A03AX06;N;idanpramin;idanpramine
A03AX07;N;proxazol;proxazole
A03AX08;N;alverin;alverine
A03AX09;N;trepibuton;trepibutone
A03AX10;N;isomethepten;isometheptene
A03AX11;N;karoverin;caroverine
A03AX12;N;floroglucinol;phloroglucinol
A03AX13;N;silikony;silicones
A03AX14;N;valethamát;valethamate
A03AX15;N;silice máty peprné;menthae piperitae aetheroleum
A03AX30;N;trimethyldifenylpropylamin;trimethyldiphenylpropylamine
A03AX58;N;alverin, kombinace;alverine, combinations
A03B;N;ALKALOIDY RULÍKU A DERIVÁTY, SAMOTNÉ;BELLADONNA AND DERIVATIVES, PLAIN
A03BA;N;Alkaloidy rulíku, terciární aminy;Belladonna alkaloids, tertiary amines
A03BA01;N;atropin;atropine
A03BA03;N;hyoscyamin;hyoscyamine
A03BA04;N;všechny alkaloidy rulíku;belladonna total alkaloids
A03BB;N;Alkaloidy rulíku, semisyntetické kvarterní amoniové sloučeniny;Belladonna alkaloids, semisynthetic, quaternary ammonium compounds
A03BB01;N;butylskopolaminium;butylscopolamine
A03BB02;N;methylatropinium;methylatropine
A03BB03;N;methylskopolaminium;methylscopolamine
A03BB04;N;fentonium;fentonium
A03BB05;N;cimetropium-bromid;cimetropium bromide
A03BB06;N;homatropin-methylbromid;homatropine methylbromide
A03C;N;SPAZMOLYTIKA V KOMBINACI S PSYCHOLEPTIKY;ANTISPASMODICS IN COMBINATION WITH PSYCHOLEPTICS
A03CA;N;Syntetická anticholinergika v kombinaci s psycholeptiky;Synthetic anticholinergic agents in combination with psycholeptics
A03CA01;N;isopropamid a psycholeptika;isopropamide and psycholeptics
A03CA02;N;klidinium a psycholeptika;clidinium and psycholeptics
A03CA03;N;oxyfencyklimin a psycholeptika;oxyphencyclimine and psycholeptics
A03CA04;N;otilonium-bromid a psycholeptika;otilonium bromide and psycholeptics
A03CA05;N;glykopyrronium-bromid a psycholeptika;glycopyrronium bromide and psycholeptics
A03CA06;N;bevonium a psycholeptika;bevonium and psycholeptics
A03CA07;N;ambutonium a psycholeptika;ambutonium and psycholeptics
A03CA08;N;difemanilium a psycholeptika;diphemanil and psycholeptics
A03CA09;N;pipenzolacium a psycholeptika;pipenzolate and psycholeptics
A03CA30;N;emepronium a psycholeptika;emepronium and psycholeptics
A03CA34;N;propanthelinium a psycholeptika;propantheline and psycholeptics
A03CB;N;Alkaloidy rulíku a deriváty v kombinaci s psycholeptiky;Belladonna and derivatives in combination with psycholeptics
A03CB01;N;methylskopolaminium a psycholeptika;methylscopolamine and psycholeptics
A03CB02;N;všechny alkaloidy rulíku a psycholeptika;belladonna total alkaloids and psycholeptics
A03CB03;N;atropin a psycholeptika;atropine and psycholeptics
A03CB04;N;homatropin-methylbromid a psycholeptika;homatropine methylbromide and psycholeptics
A03CB31;N;hyoscyamin a psycholeptika;hyoscyamine and psycholeptics
A03CC;N;Jiná spazmolytika v kombinaci s psycholeptiky;Other antispasmodics in combination with psycholeptics
A03D;N;SPAZMOLYTIKA V KOMBINACI S ANALGETIKY;ANTISPASMODICS IN COMBINATION WITH ANALGESICS
A03DA;N;Syntetická anticholinergika v kombinaci s analgetiky;Synthetic anticholinergic agents in combination with analgesics
A03DA01;N;tropenzilinium a analgetika;tropenzilone and analgesics
A03DA02;N;pitofenon a analgetika;pitofenone and analgesics
A03DA03;N;bevonium a analgetika;bevonium and analgesics
A03DA04;N;ciklonium a analgetika;ciclonium and analgesics
A03DA05;N;kamylofin a analgetika;camylofin and analgesics
A03DA06;N;trospium a anagetika;trospium and analgesics
A03DA07;N;tiemonium-jodid a analgetika;tiemonium iodide and analgesics
A03DB;N;Alkaloidy rulíku a deriváty v kombinaci s analgetiky;Belladonna and derivatives in combination with analgesics
A03DB04;N;butylskopolaminium a analgetika;butylscopolamine and analgesics
A03DC;N;Jiná spazmolytika v kombinaci s analgetiky;Other antispasmodics in combination with analgesics
A03E;N;SPAZMOLYTIKA A ANTICHOLINERGIKA V KOMBINACI S DALŠÍMI LÉČIVY;ANTISPASMODICS AND ANTICHOLINERGICS IN COMBINATION WITH OTHER DRUGS
A03EA;N;Spazmolytika, psycholeptika a analgetika v kombinaci;Antispasmodics, psycholeptics and analgesics in combination
A03ED;N;Spazmolytika v kombinaci s jinými léčivy;Antispasmodics in combination with other drugs
A03F;N;PROKINETIKA;PROPULSIVES
A03FA;N;Prokinetika;Propulsives
A03FA01;N;metoklopramid;metoclopramide
A03FA02;N;cisaprid;cisapride
A03FA03;N;domperidon;domperidone
A03FA04;N;bromoprid;bromopride
A03FA05;N;alizaprid;alizapride
A03FA06;N;kleboprid;clebopride
A03FA07;N;itoprid;itopride
A03FA08;N;cinitaprid;cinitapride
A03FA09;N;mosaprid;mosapride
A03FA10;N;akotiamid;acotiamide
A04;N;ANTIEMETIKA;ANTIEMETICS AND ANTINAUSEANTS
A04A;N;ANTIEMETIKA;ANTIEMETICS AND ANTINAUSEANTS
A04AA;N;Antagonisté serotoninových 5HT3 receptorů;Serotonin (5HT3) antagonists
A04AA01;N;ondansetron;ondansetron
A04AA02;N;granisetron;granisetron
A04AA03;N;tropisetron;tropisetron
A04AA04;N;dolasetron;dolasetron
A04AA05;N;palonosetron;palonosetron
A04AA55;N;palonosetron, kombinace;palonosetron, combinations
A04AD;N;Jiná antiemetika;Other antiemetics
A04AD01;N;skopolamin;scopolamine
A04AD02;N;šťavelan ceritý;cerium oxalate
A04AD04;N;chlorbutanol;chlorobutanol
A04AD05;N;metopimazin;metopimazine
A04AD10;N;dronabinol;dronabinol
A04AD11;N;nabilon;nabilone
A04AD12;N;aprepitant;aprepitant
A04AD13;N;kasopitant;casopitant
A04AD14;N;rolapitant;rolapitant
A04AD51;N;skopolamin, kombinace;scopolamine, combinations
A04AD54;N;chlorbutanol, kombinace;chlorobutanol, combinations
A05;N;LÉČIVA K TERAPII ONEMOCNĚNÍ JATER A ŽLUČOVÝCH CEST;BILE AND LIVER THERAPY
A05A;N;LÉČIVA K TERAPII ONEMOCNĚNÍ ŽLUČNÍKU;BILE THERAPY
A05AA;N;Žlučové kyseliny a deriváty;Bile acids and derivatives
A05AA01;N;kyselina chenodeoxycholová;chenodeoxycholic acid
A05AA02;N;kyselina ursodeoxycholová;ursodeoxycholic acid
A05AA03;N;kyselina cholová;cholic acid
A05AA04;N;kyselina obeticholová;obeticholic acid
A05AA05;N;ursodoxicholtaurin;ursodoxicoltaurine
A05AB;N;Léčiva k terapii onemocnění žlučových cest;Preparations for biliary tract therapy
A05AB01;N;nikometamid;nicotinyl methylamide
A05AX;N;Jiná léčiva k terapii onemocnění žlučových cest;Other drugs for bile therapy
A05AX01;N;piprozolin;piprozolin
A05AX02;N;hymechromon;hymecromone
A05AX03;N;cyklobutyrol;cyclobutyrol
A05AX04;N;maralixibat-chlorid;maralixibat chloride
A05AX05;N;odevixibat;odevixibat
A05AX06;N;elafibranor;elafibranor
A05AX07;N;seladelpar;seladelpar
A05B;N;LÉČIVA K TERAPII ONEMOCNĚNÍ JATER, HEPATOPROTEKTIVA;LIVER THERAPY, LIPOTROPICS
A05BA;N;Léčiva k terapii onemocnění jater;Liver therapy
A05BA01;N;arginin-glutamát;arginine glutamate
A05BA03;N;silymarin;silymarin
A05BA04;N;citiolon;citiolone
A05BA05;N;epomediol;epomediol
A05BA06;N;ornithin-oxoglurát;ornithine oxoglurate
A05BA07;N;tidiacik-arginin;tidiacic arginine
A05BA08;N;kyselina glycyrrhizová;glycyrrhizic acid
A05BA09;N;metadoxin;metadoxine
A05BA10;N;fosfolipidy;phospholipids
A05BA11;N;#N/A;#N/A
A05C;N;LÉČIVA K TERAPII ONEMOCNĚNÍ ŽLUČOVÝCH CEST A HEPATOPROTEKTIVA V KOMBINACI;DRUGS FOR BILE THERAPY AND LIPOTROPICS IN COMBINATION
A06;N;LÉČIVA PROTI ZÁCPĚ;DRUGS FOR CONSTIPATION
A06A;N;LÉČIVA PROTI ZÁCPĚ;DRUGS FOR CONSTIPATION
A06AA;N;Změkčující laxativa;Softeners, emollients
A06AA01;N;tekutý parafin;liquid paraffin
A06AA02;N;sodná sůl dokusátu;docusate sodium
A06AA51;N;tekutý parafin, kombinace;liquid paraffin, combinations
A06AB;N;Kontaktní laxativa;Contact laxatives
A06AB01;N;oxyfenisatin;oxyphenisatine
A06AB02;N;bisakodyl;bisacodyl
A06AB03;N;dantron;dantron
A06AB04;N;fenolftalein;phenolphthalein
A06AB05;N;ricinový olej;castor oil
A06AB06;N;sennové glykosidy;senna glycosides
A06AB07;N;kůra řešetláku purshova;cascara
A06AB08;N;natrium-pikosulfát;sodium picosulfate
A06AB09;N;bisoxatin;bisoxatin
A06AB20;N;kontaktní laxativa v kombinaci;contact laxatives in combination
A06AB30;N;kontaktní laxativa v kombinaci s alkaloidy rulíku;contact laxatives in combination with belladonna alkaloids
A06AB52;N;bisakodyl, kombinace;bisacodyl, combinations
A06AB53;N;dantron, kombinace;dantron, combinations
A06AB56;N;sennové glykosidy, kombinace;senna glycosides, combinations
A06AB57;N;kůra řešetláku purshova, kombinace;cascara, combinations
A06AB58;N;natrium-pikosulfát, kombinace;sodium picosulfate, combinations
A06AC;N;Objemová laxativa;Bulk-forming laxatives
A06AC01;N;semeno jitrocele vejčitého;ispaghula (psylla seeds)
A06AC02;N;ethulosa;ethulose
A06AC03;N;sterkuliová klovatina;sterculia
A06AC05;N;lněné semeno;linseed
A06AC06;N;methylcelulosa;methylcellulose
A06AC07;N;pšeničná vláknina;triticum (wheat fibre)
A06AC08;N;vápenatá sůl polykarbofilu;polycarbophil calcium
A06AC51;N;semeno jitrocele vejčitého, kombinace;ispaghula, combinations
A06AC53;N;sterkuliová klovatina, kombinace;sterculia, combinations
A06AC55;N;lněné semeno, kombinace;linseed, combinations
A06AD;N;Osmoticky působící laxativa;Osmotically acting laxatives
A06AD01;N;uhličitan hořečnatý;magnesium carbonate
A06AD02;N;oxid hořečnatý;magnesium oxide
A06AD03;N;peroxid hořečnatý;magnesium peroxide
A06AD04;N;síran hořečnatý;magnesium sulfate
A06AD10;N;kombinace minerálních solí;mineral salts in combination
A06AD11;N;laktulosa;lactulose
A06AD12;N;laktitol;lactitol
A06AD13;N;síran sodný;sodium sulfate
A06AD14;N;pentaerythritol;pentaerithrityl
A06AD15;N;makrogol;macrogol
A06AD16;N;mannitol;mannitol
A06AD17;N;fosrorečnan sodný;sodium phosphate
A06AD18;N;sorbitol;sorbitol
A06AD19;N;magnesium-citrát;magnesium citrate
A06AD21;N;natrium-tartarát;sodium tartrate
A06AD61;N;laktulosa, kombinace;lactulose, combinations
A06AD65;N;makrogol, kombinace;macrogol, combinations
A06AG;N;Léčiva k očištění střeva (klyzmata);Enemas
A06AG01;N;fosforečnan sodný;sodium phosphate
A06AG02;N;bisakodyl;bisacodyl
A06AG03;N;dantron, včetně kombinací;dantron, incl. combinations
A06AG04;N;glycerol;glycerol
A06AG06;N;olej;oil
A06AG07;N;sorbitol;sorbitol
A06AG10;N;sodná sůl dokusátu, včetně kombinací;docusate sodium, incl. combinations
A06AG11;N;natrium-lauryl-sulfoacetát, včetně kombinací;sodium lauryl sulfoacetate, incl. combinations
A06AG20;N;léčiva k očištění střeva, kombinace;combinations
A06AH;N;Periferní antagonisté opioidních receptorů;Peripheral opioid receptor antagonists
A06AH01;N;methylnaltrexonium-bromid;methylnaltrexone bromide
A06AH02;N;alvimopan;alvimopan
A06AH03;N;naloxegol;naloxegol
A06AH04;N;naloxon;naloxone
A06AH05;N;naldemedin;naldemedine
A06AX;N;Jiná léčiva proti zácpě;Other drugs for constipation
A06AX01;N;glycerol;glycerol
A06AX02;N;látky produkující oxid uhličitý;carbon dioxide producing drugs
A06AX03;N;lubiproston;lubiprostone
A06AX04;N;linaklotid;linaclotide
A06AX05;N;prukaloprid;prucalopride
A06AX06;N;tegaserod;tegaserod
A06AX07;N;plekanatid;plecanatide
A06AX08;N;tenapanor;tenapanor
A06AX09;N;elobixibát;elobixibat
A07;N;ANTIDIAROIKA, STŘEVNÍ PROTIZÁNĚTLIVÁ A PROTIINFEKČNÍ LÉČIVA;ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS
A07A;N;STŘEVNÍ ANTIINFEKTIVA;INTESTINAL ANTIINFECTIVES
A07AA;N;Antibiotika;Antibiotics
A07AA01;N;neomycin;neomycin
A07AA02;N;nystatin;nystatin
A07AA03;N;natamycin;natamycin
A07AA04;N;streptomycin;streptomycin
A07AA05;N;polymyxin B;polymyxin B
A07AA06;N;paromomycin;paromomycin
A07AA07;N;amfotericin B;amphotericin B
A07AA08;N;kanamycin;kanamycin
A07AA09;N;vankomycin;vancomycin
A07AA10;N;kolistin;colistin
A07AA11;N;rifaximin;rifaximin
A07AA12;N;fidaxomicin;fidaxomicin
A07AA13;N;rifamycin;rifamycin
A07AA51;N;neomycin, kombinace;neomycin, combinations
A07AA54;N;streptomycin, kombinace;streptomycin, combinations
A07AB;N;Sulfonamidy;Sulfonamides
A07AB02;N;ftalylsulfathiazol;phthalylsulfathiazole
A07AB03;N;sulfaguanidin;sulfaguanidine
A07AB04;N;sukcinylsulfathiazol;succinylsulfathiazole
A07AC;N;Imidazolové deriváty;Imidazole derivatives
A07AC01;N;mikonazol;miconazole
A07AX;N;Jiná střevní antiinfektiva;Other intestinal antiinfectives
A07AX01;N;broxychinolin;broxyquinoline
A07AX02;N;acetarsol;acetarsol
A07AX03;N;nifuroxazid;nifuroxazide
A07AX04;N;nifurzid;nifurzide
A07B;N;STŘEVNÍ ADSORBENCIA;INTESTINAL ADSORBENTS
A07BA;N;Přípravky obsahující aktivní uhlí;Charcoal preparations
A07BA01;N;aktivní uhlí;medicinal charcoal
A07BA51;N;přípravky obsahující aktivní uhlí, kombinace;medicinal charcoal, combinations
A07BB;N;Přípravky obsahující bismut;Bismuth preparations
A07BC;N;Jiná střevní adsorbencia;Other intestinal adsorbents
A07BC01;N;pektin;pectin
A07BC02;N;kaolin;kaolin
A07BC03;N;krospovidon;crospovidone
A07BC04;N;attapulgit;attapulgite
A07BC05;N;diosmektit;diosmectite
A07BC30;N;jiná střevní adsorbencia, kombinace;combinations
A07BC54;N;attapulgit, kombinace;attapulgite, combinations
A07C;N;ELEKTROLYTY SE SACHARIDY;ELECTROLYTES WITH CARBOHYDRATES
A07CA;N;Perorální rehydratační elektrolytové roztoky;Oral rehydration salt formulations
A07D;N;ANTIPROPULZIVA;ANTIPROPULSIVES
A07DA;N;Antipropulziva;Antipropulsives
A07DA01;N;difenoxylát;diphenoxylate
A07DA02;N;opium;opium
A07DA03;N;loperamid;loperamide
A07DA04;N;difenoxin;difenoxin
A07DA05;N;loperamid-oxid;loperamide oxide
A07DA06;N;eluxadolin;eluxadoline
A07DA52;N;morfin, kombinace;morphine, combinations
A07DA53;N;loperamid, kombinace;loperamide, combinations
A07E;N;STŘEVNÍ PROTIZÁNĚTLIVÁ LÉČIVA;INTESTINAL ANTIINFLAMMATORY AGENTS
A07EA;N;Kortikosteroidy působící lokálně;Corticosteroids acting locally
A07EA01;N;prednisolon;prednisolone
A07EA02;N;hydrokortison;hydrocortisone
A07EA03;N;prednison;prednisone
A07EA04;N;betamethason;betamethasone
A07EA05;N;tixokortol;tixocortol
A07EA06;N;budesonid;budesonide
A07EA07;N;beklometason;beclometasone
